target_user_id,gstat_user_len_mean,gstat_user_sr_max_share,gstat_question_ratio,gstat_caps_ratio,gstat_readability_fk,gstat_link_ratio,gstat_negation_ratio,gstat_subjectivity_ratio,gstat_emoticon_ratio,gstat_contraction_ratio,gstat_avg_word_len,gstat_long_word_ratio,gstat_stopword_ratio,gstat_rep_bigram_ratio,gstat_hour_entropy,gstat_nocturnal_ratio,gstat_circadian_mean,gstat_reply_delay_std
75,-0.442827,-0.179341,0.145986,0.0868085,0.80738,0.230824,-0.0376208,-0.67391,-0.355162,-1.04193,1.57905,1.29518,0.439389,0.449061,-2.00633,-1.86338,0.295594,-0.680987
76,0.611324,0.947461,-0.29733,-0.440281,0.637594,0.159469,0.692275,-0.136307,-0.344811,1.33037,0.152313,0.156147,0.0922973,0.545067,-0.903172,2.33314,-1.36983,-0.820673
77,1.13502,-0.359633,0.589301,-1.02896,0.661154,1.08725,-0.989658,-0.846548,-0.418993,0.373357,0.894083,0.730224,0.962551,0.769906,-0.452686,-0.942199,0.491011,-0.676405
78,-0.0645149,0.0542116,2.27238,-0.112144,-0.928858,-0.624221,-1.77672,1.11191,0.217589,-0.0723691,-0.63839,-0.721273,-0.285831,-0.273801,0.293232,1.05118,1.00975,-0.5363
79,-0.0371677,1.66862,0.367644,-0.613396,0.0136503,0.159469,-0.00840814,-0.917345,-0.208524,1.63997,-0.651973,-0.288691,1.15628,0.465206,-0.952311,0.115461,1.07904,-0.940028
80,-0.048436,-0.224414,-0.29733,1.42986,0.332406,0.659043,1.61951,-0.0526381,-0.418993,1.29367,1.30747,0.935404,-0.383277,0.0205839,-0.0161875,0.797821,-1.32255,-0.196687
81,-0.549876,0.293917,0.921765,0.917428,-0.619617,-0.768325,-1.66029,-0.338855,-0.344811,-2.17129,-0.493718,-1.04267,-0.873335,-0.0192174,0.333198,0.251936,0.863886,-0.709131
82,-0.92483,0.113624,-0.740623,0.89919,-0.800066,-0.126011,0.09247,0.537589,-0.205074,-0.0522759,-0.784034,-0.711231,-0.35325,-0.887021,1.65842,0.217817,-1.62778,-0.180869
83,-0.561708,-0.494847,0.478473,-0.53451,0.336035,-0.696955,2.14513,-0.322954,-0.418993,1.92363,0.21485,0.735493,0.213108,-0.336373,-0.0445118,1.48018,-1.6925,-1.08241
84,-1.1054,-0.179341,-0.518965,0.36016,0.139627,-0.839695,2.69849,1.07519,-0.153319,1.53328,0.463687,0.0283958,-1.93439,-1.28684,-0.110311,1.27548,-1.58543,-0.40512
85,-0.846515,-1.03571,-0.29733,0.220842,-0.820257,-0.268751,-0.0399323,0.477771,0.245192,0.531082,-0.0348093,-0.131885,-1.83624,-1.06724,0.698719,-0.430425,0.245406,-0.951311
86,0.184818,-1.32868,-0.962281,-0.499192,0.891336,2.22915,0.410867,-1.03622,-0.248202,0.396751,1.96562,1.99781,0.354306,-0.342296,1.42243,0.49076,-1.70639,-0.616599
87,0.340321,-0.742744,3.02749,0.305482,0.339665,-0.0546409,-1.41629,-0.856392,-0.418993,0.0985633,1.00169,1.12237,0.946504,0.146003,-0.150867,1.20724,1.07013,1.72164
88,-0.804259,-0.449774,1.69757,2.4649,-0.800066,0.230824,-0.986296,0.392966,0.309022,0.630509,-0.962159,-0.936609,-0.283661,-0.78904,0.0087527,0.422523,-1.2279,-0.66063
89,0.436665,-0.877959,0.145986,0.531936,1.02015,0.873153,0.54411,-0.599327,-0.418993,0.433258,1.2191,1.22932,0.52538,-0.0850729,1.66207,0.115461,-0.807749,-0.355018
90,-0.667067,0.136161,1.36508,-0.841695,-0.0350515,-0.411491,0.126937,-0.602356,-0.10674,-0.0574643,1.16928,0.946783,-0.141958,-0.479746,0.0258987,1.139,1.16959,-0.539238
